ID,Name,Salary,,,,,,,,,,,,
101,Ram,25000,,,,,,,,,,,,
102,Shyam,30000,,30000,,,,,,,,,,
,,,,30000,,,,,,,,,,
Roll,Name,Marks,,,,,,,,,,year,nvidia_returns,reliance_returns
1,Aman,85,,,,,,,,,,2016,122.14,47.43
2,Neha,92,,,,,,,,,,2017,83.91,12.09
,,,,,,,,,,,,2018,-50.03,-13.63
,,,,,,,,,,,,2019,82.19,22.42
,,,,,,,,,,,,2020,125.84,62.59
,,,,,,,,,,,,2021,50.53,33.7
,,,,,,,,,,,,2022,48.57,10.26
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,variance,3553.55,645.78
,,,,,,,,,,,,std dev,59.61,25.41
